UDI,Machine failure,Process temperature [K],Rotational speed [rpm],Tool wear [min]
1,0.0,308.6,1551,0
2,0.0,308.7,1408,3
3,0.0,308.5,1498,5
4,0.0,308.6,1433,7
5,0.0,308.7,1408,9
6,0.0,308.6,1425,11
7,0.0,308.6,1558,14
8,0.0,308.6,1527,16
9,0.0,308.7,1667,18
10,0.0,309.0,1741,21
11,0.0,308.9,1782,24
12,0.0,309.1,1423,29
13,0.0,309.1,1339,34
14,0.0,309.2,1742,37
15,0.0,309.2,2035,40
16,0.0,309.2,1542,42
17,0.0,309.2,1311,44
18,0.0,309.2,1410,47
19,0.0,309.2,1306,50
20,0.0,309.3,1632,55
21,0.0,309.3,1375,58
22,0.0,309.3,1450,63
23,0.0,309.3,1581,65
24,0.0,309.4,1758,68
25,0.0,309.4,1561,70
26,0.0,309.5,1861,73
27,0.0,309.5,1512,75
28,0.0,309.4,1811,77
29,0.0,309.4,1439,82
30,0.0,309.4,1693,84
31,0.0,309.5,1339,86
32,0.0,309.4,1798,89
33,0.0,309.4,1419,91
34,0.0,309.3,1665,93
35,0.0,309.1,1559,95
36,0.0,309.2,1452,98
37,0.0,309.2,1581,101
38,0.0,309.1,1439,104
39,0.0,309.2,1379,106
40,0.0,309.1,1350,111
41,0.0,309.1,1362,113
42,0.0,309.1,1368,115
43,0.0,309.1,1368,117
44,0.0,309.2,1372,120
45,0.0,309.1,1472,125
46,0.0,309.1,1489,128
47,0.0,309.0,1843,130
48,0.0,309.1,1418,133
49,0.0,309.2,1425,135
50,0.0,309.2,1412,140
51,1.0,309.1,2861,143
52,0.0,309.1,1383,145
53,0.0,309.0,1497,147
54,0.0,309.0,1565,152
55,0.0,309.0,1691,154
56,0.0,309.1,1512,156
57,0.0,309.1,1477,158
58,0.0,309.1,1513,160
59,0.0,309.0,1661,162
60,0.0,309.1,1378,165
61,0.0,309.1,1393,167
62,0.0,309.0,1592,169
63,0.0,309.0,1829,172
64,0.0,309.0,1812,174
65,0.0,309.1,1523,177
66,0.0,309.1,1394,179
67,0.0,308.9,1679,181
68,0.0,308.9,1466,184
69,0.0,308.9,1527,189
70,1.0,309.0,1410,191
71,0.0,309.0,1924,193
72,0.0,309.1,1452,196
73,0.0,309.1,1369,198
74,0.0,309.1,1592,200
75,0.0,309.0,1601,202
76,0.0,308.9,1379,204
77,0.0,308.9,1461,206
78,1.0,308.9,1455,208
79,0.0,308.9,1398,0
80,0.0,308.9,1402,2
81,0.0,308.8,1445,4
82,0.0,308.9,1450,9
83,0.0,308.9,1453,11
84,0.0,309.0,1469,13
85,0.0,308.9,1422,15
86,0.0,309.0,1804,17
87,0.0,309.0,1436,20
88,0.0,309.0,1544,25
89,0.0,309.0,1419,27
90,0.0,308.9,1487,30
91,0.0,308.9,1753,33
92,0.0,308.9,1830,35
93,0.0,308.9,1727,37
94,0.0,309.0,1450,40
95,0.0,308.9,1622,42
96,0.0,309.0,1351,44
97,0.0,309.0,1575,47
98,0.0,308.9,1750,50
99,0.0,308.8,1529,53
100,0.0,308.8,1523,55
101,0.0,308.9,1852,57
102,0.0,308.8,1991,59
103,0.0,308.8,1555,61
104,0.0,308.8,1441,63
105,0.0,308.7,1450,66
106,0.0,308.7,1591,68
107,0.0,308.7,1445,70
108,0.0,308.8,1497,72
